ProductID	ProductID_Copurchased
1	2
1	4
2	6
3	5
4	8
5	9
6	7
7	10
8	9
9	10
11	12
11	13
12	14
13	15
14	16
15	17
16	18
17	19
18	20
19	20
21	22
21	23
22	24
23	25
24	26
25	27
26	28
27	29
28	30
29	30
31	32
31	33
32	34
33	35
34	36
35	37
36	38
37	39
38	40
39	40
41	42
41	43
42	44
43	45
44	46
45	47
46	48
47	49
48	50
49	50
1	18
1	30
1	8
1	29
1	12
2	17
2	31
2	31
2	6
2	11
3	17
3	14
3	45
3	26
3	45
4	36
4	21
4	34
4	40
4	35
5	20
5	1
5	7
5	44
5	12
6	13
6	17
6	26
6	14
6	47
7	37
7	42
7	10
7	33
7	4
8	43
8	18
8	11
8	16
8	5
9	12
9	36
9	20
9	30
9	42
10	3
10	46
10	9
10	30
10	1
11	31
11	46
11	49
11	19
11	37
12	45
12	36
12	28
12	21
12	42
13	49
13	35
13	7
13	43
13	18
14	12
14	26
14	39
14	15
14	16
15	23
15	45
15	23
15	28
15	18
16	19
16	46
16	4
16	46
16	15
17	14
17	31
17	32
17	5
17	31
18	3
18	49
18	48
18	38
18	6
19	39
19	29
19	26
19	33
19	3
20	1
20	37
20	33
20	30
20	12
21	34
21	26
21	39
21	18
21	6
22	39
22	8
22	39
22	8
22	19
23	13
23	13
23	29
23	4
23	34
24	21
24	9
24	37
24	29
24	33
25	2
25	30
25	9
25	11
25	17
26	23
26	46
26	49
26	12
26	33
27	34
27	28
27	22
27	22
27	1
28	20
28	6
28	8
28	16
28	9
29	18
29	46
29	17
29	32
29	42
30	23
30	13
30	34
30	1
30	13
31	38
31	15
31	15
31	24
31	39
32	5
32	6
32	49
32	2
32	37
33	25
33	34
33	44
33	30
33	16
34	13
34	7
34	36
34	45
34	42
35	3
35	29
35	7
35	7
35	47
36	16
36	43
36	7
36	28
36	26
37	42
37	27
37	19
37	13
37	47
38	23
38	46
38	21
38	6
38	23
39	44
39	15
39	13
39	16
39	10
40	27
40	31
40	36
40	43
40	25
41	42
41	24
41	8
41	13
41	3
42	35
42	27
42	43
42	14
42	6
43	1
43	10
43	32
43	29
43	1
44	28
44	2
44	46
44	49
44	40
45	10
45	2
45	35
45	30
45	2
46	21
46	41
46	49
46	49
46	5
47	5
47	40
47	24
47	21
47	24
48	1
48	7
48	37
48	42
48	17
49	30
49	1
49	31
49	9
49	12
50	8
50	41
50	47
50	14
50	18
