ProductID	ProductID_Copurchased
55	16
4	1
3	1
21	24
14	10
35	34
60	16
51	58
6	10
33	32
3	1
43	16
55	16
18	24
47	16
37	16
23	22
6	10
18	24
17	16
18	24
49	48
31	1
57	16
27	30
7	8
47	16
58	54
2	1
59	1
45	16
35	34
9	1
53	16
17	16
37	16
54	16
44	16
11	12
19	22
17	16
42	16
15	16
37	16
5	6
25	35
51	58
44	16
14	10
52	16
42	16
27	30
3	1
60	16
13	11
60	16
46	37
25	35
46	37
28	32
13	11
50	16
35	34
11	12
51	58
34	35
41	16
57	16
38	16
9	1
20	24
24	22
34	35
32	28
33	32
55	16
22	21
24	22
57	16
2	1
26	1
44	16
36	35
49	48
21	24
45	16
41	16
22	21
25	35
29	35
54	16
52	16
54	16
51	58
43	16
48	49
28	32
43	16
20	24
17	16
51	58
39	16
27	30
31	1
13	11
36	35
59	1
53	16
50	16
48	49
10	1
49	48
30	27
59	1
38	16
35	34
30	27
40	16
26	1
26	1
23	22
23	22
22	21
46	37
35	34
13	11
47	16
41	16
11	12
37	16
35	34
30	27
50	16
45	16
28	32
60	16
5	6
32	28
21	24
29	35
59	1
43	16
30	27
34	35
35	34
14	10
28	32
29	35
36	35
55	16
40	16
2	1
57	16
53	16
54	16
31	1
21	24
9	1
32	28
7	8
47	16
53	16
32	28
56	15
18	24
51	58
24	22
4	1
22	21
56	15
31	1
39	16
40	16
38	16
39	16
5	6
38	16
50	16
27	30
14	10
56	15
52	16
39	16
23	22
19	22
6	10
58	54
15	16
1	2
33	32
4	1
11	12
7	8
48	49
42	16
58	54
34	35
4	1
36	35
42	16
10	1
29	35
1	2
26	1
45	16
15	16
40	16
24	22
2	1
20	24
